Utterance,Emotion_anger,Emotion_disgust,Emotion_fear,Emotion_joy,Emotion_neutral,Emotion_sadness,Emotion_surprise,Sentiment_negative,Sentiment_neutral,Sentiment_positive
Why do all youre coffee mugs have numbers on the bottom?,False,False,False,False,False,False,True,False,False,True
"Oh. Thats so Monica can keep track. That way if one on them is missing, she can be like, Wheres number 27?!",True,False,False,False,False,False,False,True,False,False
Y'know what?,False,False,False,False,True,False,False,False,True,False
"Come on, Lydia, you can do it.",False,False,False,False,True,False,False,False,True,False
Push!,False,False,False,True,False,False,False,False,False,True
"Push 'em out, push 'em out, harder, harder.",False,False,False,True,False,False,False,False,False,True
"Push 'em out, push 'em out, way out!",False,False,False,True,False,False,False,False,False,True
"Let's get that ball and really move, hey, hey, ho, ho.",False,False,False,True,False,False,False,False,False,True
"Let's  I was justyeah, right.",False,False,False,True,False,False,False,False,False,True
Okay.,False,False,False,False,True,False,False,False,True,False
"Ross, didn't you say that there was an elevator in here?",False,False,False,False,True,False,False,False,True,False
"Uhh, yes I did but there isn't. Okay, here we go.",False,False,False,False,False,True,False,True,False,False
"Okay, go left. Left! Left!",False,False,False,False,False,False,True,True,False,False
"Okay, y'know what? There is no more left, left!",True,False,False,False,False,False,False,True,False,False
"Oh okay, lift it straight up over your head!",True,False,False,False,False,False,False,True,False,False
Straight up over your head!,True,False,False,False,False,False,False,True,False,False
You can do it!,False,False,False,True,False,False,False,False,False,True
You got it?,False,False,False,False,True,False,False,False,True,False
"Oh, okay, I get it.",False,False,False,False,True,False,False,False,True,False
"No wait, look. Look! I'm sorry, it's just I've never even",False,False,True,False,False,False,False,True,False,False
Howard's the,False,False,False,False,True,False,False,False,True,False
"Yes but too me he's just, man.",False,False,False,False,True,False,False,False,True,False
"Okay, fine, whatever. Welcome to the building.",True,False,False,False,False,False,False,True,False,False
"Ugh, can you believe that guy!",False,True,False,False,False,False,False,True,False,False
Yeah. I really like his glasses.,False,False,False,False,True,False,False,False,True,False
Ohh!,False,False,False,False,False,False,True,False,False,True
What?,False,False,False,False,True,False,False,False,True,False
It kicked! I think the baby kicked!,False,False,False,False,False,False,True,False,False,True
Oh my God!,False,False,False,False,False,False,True,False,False,True
"Oh no wait, oh no, the elastic on my underwear busted.",False,False,False,False,True,False,False,False,True,False
Oh my God! I overslept! I was supposed to be on the set a half an hour ago! I gotta get out of here!,False,False,True,False,False,False,False,True,False,False
"Oh wait, Joey, you cant go like that! You stink!",False,True,False,False,False,False,False,True,False,False
"Look, I know I feel asleep before I could shower and now I dont have time!",True,False,False,False,False,False,False,True,False,False
"Theyre just ten blocks away, if I run, I can make it.",False,False,False,False,True,False,False,False,True,False
Youre coming on to the entire room!  Im Chandler.,True,False,False,False,False,False,False,True,False,False
Hi.,False,False,False,False,True,False,False,False,True,False
You mind if I,False,False,False,False,True,False,False,False,True,False
"No, please.",False,False,False,False,True,False,False,False,True,False
"So uh, what are you in for?",False,False,False,False,True,False,False,False,True,False
I talk in my sleep.,False,False,False,False,True,False,False,False,True,False
"What a coincidence, I listen in my sleep.",False,False,False,False,True,False,False,False,True,False
So why dont you give me your number?,False,False,False,False,True,False,False,False,True,False
Previously on Friends.,False,False,False,False,True,False,False,False,True,False
I dont know exactly. Its-its sorta like wrestling.,False,False,False,False,True,False,False,False,True,False
Oh?!,False,False,False,False,False,False,True,True,False,False
"Yeah, but without the costumes.",False,False,False,False,True,False,False,False,True,False
Oh.,False,False,False,False,True,False,False,False,True,False
"And its not fake, its totally brutal.",False,False,False,False,True,False,False,False,True,False
"Yeah, its two guys in a ring, and the rules are: Theyre",False,False,False,False,True,False,False,False,True,False
"So you can like, bite, and pull peoples hair and stuff?",False,False,False,False,False,False,True,True,False,False
"Yeah, anything goes, except ah, eye gouging and fish hooking.",False,False,False,False,True,False,False,False,True,False
Whats fish hooking?,False,False,False,False,False,False,True,True,False,False
"Huh, whats fish hooking...   Thanks man, that would have been really hard to describe. What is that taste?",False,False,False,False,True,False,False,False,True,False
"What? My hands are totally clean, I just gave the duck a bath.",False,False,False,False,True,False,False,False,True,False
"Oh, Bob, he was nothing compared to you. I had to bite my lip to keep from screaming your name.",False,False,False,False,False,True,False,True,False,False
"Well, that makes me feel so good.",False,False,False,True,False,False,False,False,False,True
It was just so awkward and bumpy.,False,False,False,False,True,False,False,False,True,False
Bumpy?,False,False,False,False,False,False,True,True,False,False
"Well, maybe he had some kind of uh, new, cool style, that you're not familiar with.",False,False,False,False,True,False,False,False,True,False
And uh maybe you have to get used to it.,False,False,False,False,True,False,False,False,True,False
"Well there really wasn't much time to get used to it, you know what I mean?",False,False,False,True,False,False,False,False,False,True
Coming through!  Oh! Coming through!  Oh! Hello! Hi!  No! Right! Coming through!,False,False,True,False,False,False,False,True,False,False
"Oh well, its not so bad.",False,False,False,False,True,False,False,False,True,False
"Yeah, most of the damage is pretty mostly contained in the bedrooms.",False,False,False,False,False,True,False,True,False,False
Oh!,False,False,False,False,False,False,True,True,False,False
My God!,False,False,False,False,False,False,True,True,False,False
"Hey buddy, do you think I can borrow your uniform this Thursday?",False,False,False,False,True,False,False,False,True,False
Excuse me?,False,False,False,False,False,False,True,False,False,True
Joey! Hes working!  You would look,True,False,False,False,False,False,False,True,False,False
"Oh, how bad is it?",False,False,False,False,False,True,False,True,False,False
"Oh, its bad. Its really bad. The only thing in there that isnt burned is an ass. Which I do",False,False,False,False,False,True,False,True,False,False
Hows your room Rach?,False,False,False,False,True,False,False,False,True,False
Everythings ruined. My bed. My clothes. Look at my favorite blue sweater.,False,False,False,False,False,True,False,True,False,False
Isnt that mine?,False,False,False,False,True,False,False,False,True,False
Fine! Im sorry for your loss!,True,False,False,False,False,False,False,True,False,False
"So uh, youre not gonna be able to live here for a while, you ladies have a place to stay?",False,False,False,False,True,False,False,False,True,False
"Wow! Oh-okay, look pal, I am",False,False,False,True,False,False,False,False,False,True
"Yes, they can stay with us.",False,False,False,False,True,False,False,False,True,False
Have you figured out what started the fire Mr. Fireman?,False,False,False,False,True,False,False,False,True,False
Theres just so much pressure.,True,False,False,False,False,False,False,True,False,False
"I mean no offense, but what you guys do is very different.",False,False,False,False,True,False,False,False,True,False
I dont know if youd understand.,False,False,False,False,True,False,False,False,True,False
"Yeah, none of us have to deal with pressure at our jobs.",False,False,False,False,True,False,False,False,True,False
"Well Phoebe, we gotta do something!",False,False,False,False,False,True,False,True,False,False
I mean theres no way Joeys gonna make it in time.,False,False,True,False,False,False,False,True,False,False
